1-0	4-nummod	1-nsubj
12-5	6-aux	4-nmod
12-6	1-dobj	5-nmod
12-7	6-iobj	6-nmod
12-8	9-amod	7-nmod
12-9	6-dobj	8-nmod
12-10	1-punct	1-punct

13-0	1-case	3-root
13-1	3-root	0-nmod
13-2	1-name	0-nmod

14-0	7-nsubj	13-root
14-1	2-case	0-nmod
14-2	0-nmod	1-nmod
14-3	4-case	2-nmod
14-4	2-nmod	3-nmod
14-5	7-aux	4-nmod
14-6	7-neg	5-nmod
14-7	13-root	6-nmod
14-8	9-case	7-nmod
14-9	7-nmod	8-nmod
14-10	9-cc	9-cc
14-11	9-conj	9-nmod
14-12	7-punct	0-punct

15-0	7-advmod	13-root
15-1	7-aux	0-nmod
15-2	7-nsubj	1-nmod
15-3	6-case	2-nmod
15-4	6-det	3-nmod
15-5	6-amod	3-nmod
15-6	2-nmod	5-nmod
15-7	13-root	6-nmod
15-8	7-iobj	7-nmod
15-9	11-det	13-root
15-10	11-amod	9-nmod
15-11	7-dobj	10-nmod
15-12	7-punct	9-punct

16-0	1-dobj	1-expl
16-1	28-root	28-root
16-2	3-nmodCOLposs	1-nmod
16-3	1-nsubj	2-nmod
16-4	3-appos	3-nmod
16-5	4-name	1-nmod
16-6	1-cc	1-cc
16-7	1-conj	1-nmod
16-8	13-punct	1-punct
16-9	13-mark	10-mark
16-10	12-det	1-nmod
16-11	12-amod	1-nmod
16-12	13-nsubj	11-nmod
16-13	7-dobj	12-nmod
16-14	13-advmod	13-nmod
16-15	17-case	16-advmodCOLemph
16-16	17-det	13-nmod
16-17	13-nmod	13-nmod
16-18	13-punct	17-punct
16-19	26-dobj	28-root
16-20	24-nsubj	19-nmod
16-21	22-nmodCOLtemp	22-advmod
16-22	23-case	28-root
16-23	24-nmod	22-nmod
16-24	17-dep	23-nmod
16-25	24-dobj	24-nmod
16-26	25-dep	25-nmod
16-27	1-punct	22-punct

17-0	2-nsubj	15-root
17-1	0-name	0-nmod
17-2	15-root	1-nmod
17-3	4-case	2-nmod
17-4	2-nmod	3-nmod
17-5	8-punct	0-punct
17-6	8-advmod	0-nmod
17-7	8-nsubj	6-nmod
17-8	4-aclCOLrelcl	7-nmod
17-9	10-case	8-nmod
17-10	8-nmod	9-nmod
17-11	10-cc	0-cc
17-12	13-amod	0-nmod
17-13	10-conj	12-nmod
17-14	2-punct	0-punct

18-0	4-punct	1-punct
18-1	4-nsubj	20-root
18-2	4-aux	1-nmod
18-3	4-neg	2-nmod
18-4	17-dep	3-nmod
18-5	4-dobj	4-nmod
18-6	4-dep	5-nmod
18-7	12-punct	1-punct
18-8	12-mark	9-mark
18-9	10-det	1-nmod
18-10	12-nsubj	1-nmod
18-11	12-aux	10-nmod
18-12	6-dep	11-nmod
18-13	14-case	12-nmod
18-14	12-nmod	13-nmod
18-15	12-punct	1-punct
18-16	4-punct	1-punct
18-17	20-root	1-nmod
18-18	17-nsubj	17-nmod
18-19	17-punct	1-punct

19-0	9-name	18-root
19-1	4-case	9-advmodCOLemph
19-2	4-nmodCOLposs	1-nmod
19-3	4-amod	2-nmod
19-4	0-nmod	3-nmod
19-5	6-punct	6-punct
19-6	4-appos	4-nmod
19-7	6-punct	6-punct
19-8	0-punct	1-punct
19-9	14-nsubjpass	0-nmod
19-10	9-name	9-nmod
19-11	9-punct	0-punct
19-12	14-auxpass	0-nmod
19-13	14-advmod	0-advmod
19-14	18-root	13-nmod
19-15	16-case	14-nmod
19-16	14-nmod	15-nmod
19-17	14-punct	0-punct

20-0	4-nsubj	17-root
20-1	4-aux	0-nmod
20-2	4-advmod	1-nmod
20-3	4-advmod	0-advmod
20-4	17-root	3-nmod
20-5	8-punct	3-punct
20-6	8-mark	7-mark
20-7	8-nsubj	3-nmod
20-8	4-dobj	7-nmod
20-9	10-advmod	8-nmod
20-10	11-advmod	9-nmod
20-11	8-advmod	3-advmod
20-12	13-case	11-nmod
20-13	8-nmod	11-nmod
20-14	15-case	13-nmod
20-15	13-nmod	14-nmod
20-16	4-punct	0-punct

21-0	1-advmod	45-root
21-1	45-root	0-nmod
21-2	1-nsubj	1-nmod
21-3	5-case	4-advmodCOLemph
21-4	5-det	2-nmod
21-5	1-nmod	4-nmod
21-6	7-det	5-nmod
21-7	1-dobj	6-nmod
21-8	9-case	7-nmod
21-9	7-nmod	8-nmod
21-10	9-cc	9-cc
21-11	9-conj	9-nmod
21-12	7-punct	6-punct
21-13	19-advmod	6-nmod
21-14	15-det	13-nmod
21-15	19-nsubj	14-nmod
21-16	17-advmod	15-nmod
21-17	18-case	16-nmod
21-18	19-nmod	17-nmod
21-19	7-dep	18-nmod
21-20	19-dobj	19-nmod
21-21	19-dep	20-nmod
21-22	21-dep	21-nmod
21-23	22-dep	22-nmod
21-24	23-dobj	23-nmod
21-25	19-punct	0-punct
21-26	28-punct	0-punct
21-27	28-dobj	0-nmod
21-28	33-nsubj	27-nmod
21-29	28-nsubj	28-nmod
21-30	28-punct	28-punct
21-31	28-punct	0-punct
21-32	33-cop	0-nmod
21-33	19-dep	32-nmod
21-34	35-case	33-nmod
21-35	33-nmod	34-nmod
21-36	37-case	35-nmod
21-37	35-nmod	36-nmod
21-38	37-name	37-nmod
21-39	37-cc	38-cc
21-40	43-det	45-root
21-41	43-amod	40-nmod
21-42	43-amod	41-nmod
21-43	37-conj	42-nmod
21-44	1-punct	40-punct

22-0	4-punct	1-punct
22-1	4-nsubj	2-expl
22-2	4-cop	21-root
22-3	4-amod	2-nmod
22-4	17-dep	3-nmod
22-5	4-punct	2-punct
22-6	8-nsubj	2-nmod
22-7	8-aux	6-nmod
22-8	1-dep	7-nmod
22-9	10-advmod	8-nmod
22-10	12-amod	9-nmod
22-11	12-det	10-nmod
22-12	8-dobj	11-nmod
22-13	14-case	12-nmod
22-14	8-nmod	13-nmod
22-15	8-punct	2-punct
22-16	4-punct	2-punct
22-17	21-root	21-root
22-18	17-nsubj	17-nmod
22-19	18-name	18-nmod
22-20	17-punct	17-punct

23-0	2-case	13-root
23-1	2-amod	0-nmod
23-2	6-nmod	1-nmod
23-3	5-case	2-nmod
23-4	5-nummod	3-nummod
23-5	2-nmod	4-nmod
23-6	13-root	5-nmod
23-7	8-amod	6-nmod
23-8	6-nsubj	7-nmod
23-9	6-dobj	8-nmod
23-10	11-case	13-root
23-11	9-nmod	10-nmod
23-12	6-punct	10-punct

24-0	1-advmod	4-root
24-1	4-root	0-nmod
24-2	1-nsubj	1-nmod
24-3	1-nmodCOLloc	0-nmod

25-0	1-case	3-root
25-1	3-root	0-nmod
25-2	1-name	0-nmod

26-0	2-dep	8-root
26-1	0-nummod	0-nummod
26-2	8-root	1-nmod
26-3	2-nsubj	2-nmod
26-4	6-det	3-nmod
26-5	6-amod	4-nmod
26-6	2-dobj	5-nmod
26-7	2-punct	0-punct

27-0	1-nsubj	1-expl
27-1	28-root	28-root
27-2	3-nmodCOLposs	1-nmod
27-3	1-dobj	2-nmod
27-4	1-punct	1-punct
27-5	1-cc	1-cc
27-6	10-nsubj	7-expl
27-7	10-cop	1-nmod
27-8	10-neg	7-nmod
27-9	10-det	15-neg
27-10	1-conj	9-nmod
27-11	10-punct	9-punct
27-12	13-nsubj	9-nmod
27-13	10-dep	12-nmod
27-14	13-dobj	9-nmod
27-15	13-dep	1-nmod
27-16	21-punct	1-punct
27-17	21-mark	18-mark
27-18	21-nsubj	1-nmod
27-19	21-aux	1-nmod
27-20	21-cop	19-nmod
27-21	13-amod	20-nmod
27-22	23-case	23-advmodCOLemph
27-23	21-nmod	21-nmod
27-24	23-dep	23-nmod
27-25	23-amod	24-nmod
27-26	23-nmodCOLposs	25-nmod
27-27	1-punct	1-punct

28-0	3-nsubj	1-expl
28-1	3-cop	12-root
28-2	3-amod	1-nmod
28-3	12-root	2-nmod
28-4	8-punct	1-punct
28-5	8-mark	6-mark
28-6	8-nsubj	1-nmod
28-7	6-name	6-nmod
28-8	0-dep	7-nmod
28-9	10-case	8-nmod
28-10	8-nmod	9-nmod
28-11	3-punct	1-punct

29-0	1-punct	1-punct
29-1	13-dep	2-cc
29-2	3-expl	16-root
29-3	1-conj	2-nmod
29-4	6-det	3-nmod
29-5	6-amod	4-nmod
29-6	3-dobj	5-nmod
29-7	10-case	6-nmod
29-8	10-det	7-nmod
29-9	10-nummod	8-nummod
29-10	6-nmod	9-nmod
29-11	3-punct	2-punct
29-12	1-punct	2-punct
29-13	16-root	2-nmod
29-14	13-nsubj	13-nmod
29-15	13-punct	2-punct

30-0	1-nummod	1-nummod
30-1	2-nmodCOLtemp	10-root
30-2	3-advmod	1-nmod
30-3	10-root	2-nmod
30-4	5-amod	3-nmod
30-5	3-nsubj	4-nmod
30-6	3-dobj	5-nmod
30-7	8-case	10-root
30-8	6-nmod	7-nmod
30-9	3-punct	7-punct

31-0	2-case	7-root
31-1	2-amod	0-nmod
31-2	7-root	1-nmod
31-3	5-case	2-nmod
31-4	5-nummod	3-nummod
31-5	2-nmod	4-nmod
31-6	0-punct	0-punct

32-0	20-root	1-cc
32-1	2-det	20-root
32-2	7-dep	1-nmod
32-3	7-aux	2-nmod
32-4	7-nsubj	3-nmod
32-5	4-name	4-nmod
32-6	7-neg	5-nmod
32-7	0-conj	6-nmod
32-8	7-dobj	7-nmod
32-9	7-amod	8-nmod
32-10	9-dep	9-nmod
32-11	10-dep	20-root
32-12	13-aux	11-nmod
32-13	11-dep	12-xcomp
32-14	15-det	20-root
32-15	13-dobj	14-nmod
32-16	13-dep	14-nmod
32-17	18-case	16-nmod
32-18	16-nmod	17-nmod
32-19	0-punct	14-punct

33-0	3-nsubj	22-root
33-1	3-cop	0-nmod
33-2	3-advmod	1-nmod
33-3	22-root	2-nmod
33-4	12-case	3-nmod
33-5	3-cc	3-cc
33-6	3-conj	22-root
33-7	8-case	6-nmod
33-8	6-nmod	7-nmod
33-9	8-dep	8-nmod
33-10	12-det	9-nmod
33-11	12-amod	9-nmod
33-12	3-nmod	11-nmod
33-13	12-punct	6-punct
33-14	16-nsubj	6-nmod
33-15	16-aux	14-nmod
33-16	12-aux	15-nmod
33-17	16-dobj	16-nmod
33-18	20-case	19-advmodCOLemph
33-19	20-nmodCOLposs	17-nmod
33-20	17-nmod	19-nmod
33-21	3-punct	6-punct

34-0	1-nummod	1-nummod
34-1	7-root	7-root
34-2	1-nsubj	3-expl
34-3	5-case	4-advmodCOLemph
34-4	5-amod	1-nmod
34-5	1-nmod	4-nmod
34-6	1-punct	1-punct

35-0	1-nsubj	1-expl
35-1	7-root	7-root
35-2	5-case	1-nmod
35-3	4-det	2-nmod
35-4	5-nmodCOLposs	3-nmod
35-5	1-nmod	4-nmod
35-6	1-punct	1-punct

36-0	1-advmod	5-root
36-1	5-root	0-nmod
36-2	1-nsubj	3-nmod
36-3	1-nummod	0-nummod
36-4	1-punct	0-punct

37-0	9-root	1-cc
37-1	2-nsubj	2-expl
37-2	0-conj	9-root
37-3	2-advmod	2-nmod
37-4	7-case	5-advmodCOLemph
37-5	7-det	3-nmod
37-6	7-amod	3-nmod
37-7	2-nmod	6-nmod
37-8	0-punct	2-punct

38-0	16-root	3-nummod
38-1	0-punct	0-punct
38-2	4-case	3-advmodCOLemph
38-3	4-dep	16-root
38-4	5-nmod	3-nmod
38-5	0-list	4-nmod
38-6	5-expl	5-nmod
38-7	5-advmod	6-nmod
38-8	10-det	7-nmod
38-9	10-amod	8-nmod
38-10	5-dobj	9-nmod
38-11	12-case	10-nmod
38-12	5-nmod	11-nmod
38-13	14-case	12-nmod
38-14	12-nmod	13-nmod
38-15	0-punct	3-punct

39-0	2-nsubj	1-expl
39-1	2-cop	8-root
39-2	8-root	1-nmod
39-3	0-dep	2-nmod
39-4	3-dep	3-nmod
39-5	6-amod	4-nmod
39-6	4-dobj	5-nmod
39-7	2-punct	1-punct

40-0	1-nsubj	9-root
40-1	9-root	0-nmod
40-2	6-punct	0-punct
40-3	6-mark	4-mark
40-4	6-nsubj	0-nmod
40-5	6-aux	4-nmod
40-6	1-dobj	5-nmod
40-7	6-dobj	0-dobj
40-8	1-punct	0-punct

41-0	13-root	2-nummod
41-1	0-punct	0-punct
41-2	4-aux	13-root
41-3	4-nsubj	2-nmod
41-4	0-list	2-nmod
41-5	9-case	2-nmod
41-6	8-det	5-nmod
41-7	8-dep	6-cc
41-8	9-nmodCOLposs	6-nmod
41-9	4-nmod	8-nmod
41-10	11-case	9-nmod
41-11	9-nmod	10-nmod
41-12	0-punct	2-punct

42-0	15-root	2-nummod
42-1	0-punct	0-punct
42-2	4-nsubj	3-expl
42-3	4-cop	15-root
42-4	0-list	3-nmod
42-5	9-punct	3-punct
42-6	9-mark	8-mark
42-7	9-nsubjpass	8-expl
42-8	9-auxpass	3-nmod
42-9	4-dep	8-nmod
42-10	13-case	9-nmod
42-11	12-nmodCOLposs	10-nmod
42-12	13-nmodCOLposs	11-nmod
42-13	9-nmod	12-nmod
42-14	0-punct	3-punct

43-0	18-root	2-nummod
43-1	0-punct	0-punct
43-2	5-mark	4-mark
43-3	5-nsubjpass	4-expl
43-4	5-auxpass	18-root
43-5	0-list	4-nmod
43-6	8-case	4-nmod
43-7	8-nmodCOLposs	6-nmod
43-8	5-nmod	7-nmod
43-9	10-punct	4-punct
43-10	5-advmod	4-nmod
43-11	5-aux	10-nmod
43-12	5-nsubjpass	11-nmod
43-13	5-advmod	11-nmod
43-14	5-neg	11-nmod
43-15	5-dep	14-nmod
43-16	15-compoundCOLprt	15-nmod
43-17	0-punct	4-punct

44-0	20-root	3-nummod
44-1	0-punct	0-punct
44-2	0-list	0-cc
44-3	2-conj	20-root
44-4	3-expl	3-nmod
44-5	6-advmod	4-nmod
44-6	3-dobj	5-nmod
44-7	6-dep	6-nmod
44-8	9-case	12-advmodCOLemph
44-9	7-nmod	8-nmod
44-10	14-punct	8-punct
44-11	14-mark	12-mark
44-12	14-nsubj	7-nmod
44-13	14-aux	12-nmod
44-14	5-dep	13-nmod
44-15	14-dobj	14-nmod
44-16	14-nmodCOLloc	15-nmod
44-17	18-case	16-nmod
44-18	16-nmod	17-nmod
44-19	0-punct	3-punct

45-0	29-root	2-nummod
45-1	0-punct	0-punct
45-2	4-mark	3-mark
45-3	4-expl	29-root
45-4	13-mark	3-nmod
45-5	7-det	10-neg
45-6	7-amod	5-nmod
45-7	4-dobj	6-nmod
45-8	4-punct	5-punct
45-9	13-aux	5-nmod
45-10	13-nsubj	3-nmod
45-11	13-advmod	3-nmod
45-12	13-cop	3-nmod
45-13	0-list	12-nmod
45-14	13-dep	13-nmod
45-15	20-punct	3-punct
45-16	20-mark	17-mark
45-17	20-nsubj	3-nmod
45-18	20-neg	17-nmod
45-19	20-advmod	18-nmod
45-20	14-dep	19-nmod
45-21	20-nmodCOLloc	20-nmod
45-22	20-cc	20-cc
45-23	20-conj	22-nmod
45-24	27-case	25-advmodCOLemph
45-25	27-amod	23-nmod
45-26	27-nmodCOLposs	25-nmod
45-27	23-nmod	26-nmod
45-28	0-punct	3-punct

46-0	3-nsubj	13-root
46-1	3-aux	0-nmod
46-2	3-advmod	1-nmod
46-3	13-root	2-nmod
46-4	5-det	3-nmod
46-5	3-dobj	4-nmod
46-6	5-punct	0-punct
46-7	5-dep	13-root
46-8	7-name	7-nmod
46-9	7-punct	7-punct
46-10	3-dep	7-nmod
46-11	10-dobj	10-nmod
46-12	3-punct	7-punct

47-0	2-punct	1-punct
47-1	2-nsubj	2-expl
47-2	24-root	24-root
47-3	4-punct	4-punct
47-4	2-amod	2-nmod
47-5	4-punct	2-punct
47-6	2-punct	2-punct
47-7	2-cc	2-cc
47-8	10-nsubj	9-expl
47-9	10-cop	24-root
47-10	2-conj	9-nmod
47-11	20-punct	9-punct
47-12	20-mark	13-mark
47-13	14-nmodCOLposs	9-nmod
47-14	20-nsubjpass	13-nmod
47-15	14-cc	9-cc
47-16	14-conj	9-nmod
47-17	20-neg	16-nmod
47-18	20-aux	17-nmod
47-19	20-auxpass	18-nmod
47-20	10-dep	18-nmod
47-21	22-case	20-nmod
47-22	20-nmod	21-nmod
47-23	2-punct	9-punct

48-0	3-nsubj	1-expl
48-1	3-cop	46-root
48-2	3-advmod	1-nmod
48-3	42-amod	2-nmod
48-4	3-punct	1-punct
48-5	0-nmod	1-nmod
48-6	7-nsubj	5-nmod
48-7	5-aclCOLrelcl	6-nmod
48-8	9-case	1-nmod
48-9	7-nmod	8-nmod
48-10	13-case	11-advmodCOLemph
48-11	13-det	9-nmod
48-12	13-amod	9-nmod
48-13	7-nmod	12-nmod
48-14	7-punct	16-punct
48-15	18-mark	16-mark
48-16	18-nsubj	1-nmod
48-17	18-aux	16-nmod
48-18	7-dep	17-nmod
48-19	18-dobj	18-nmod
48-20	19-dep	19-nmod
48-21	22-det	20-nmod
48-22	20-dobj	21-nmod
48-23	18-punct	1-punct
48-24	18-cc	1-cc
48-25	28-mark	26-mark
48-26	28-nsubj	27-expl
48-27	28-cop	1-nmod
48-28	18-conj	27-nmod
48-29	32-case	28-nmod
48-30	32-det	29-nmod
48-31	32-amod	30-nmod
48-32	28-nmod	31-nmod
48-33	35-case	32-nmod
48-34	33-punct	30-punct
48-35	32-nmod	30-nmod
48-36	37-nsubj	35-nmod
48-37	35-aclCOLrelcl	36-nmod
48-38	37-cc	37-cc
48-39	37-conj	37-nmod
48-40	37-punct	1-punct
48-41	3-punct	1-punct
48-42	46-root	1-nmod
48-43	42-nsubj	42-nmod
48-44	43-name	43-nmod
48-45	42-punct	1-punct

49-0	5-punct	1-punct
49-1	5-nsubjpass	13-root
49-2	5-auxpass	1-nmod
49-3	4-advmod	1-nmod
49-4	5-amod	3-nmod
49-5	13-root	4-nmod
49-6	5-punct	1-punct
49-7	8-nsubj	13-root
49-8	5-conj	7-nmod
49-9	8-neg	8-nmod
49-10	11-det	9-nmod
49-11	8-dobj	10-nmod
49-12	5-punct	7-punct

50-0	4-mark	1-mark
50-1	4-nsubjpass	15-advmod
50-2	4-neg	1-nmod
50-3	4-auxpass	2-nmod
50-4	34-dep	3-nmod
50-5	6-case	8-advmodCOLemph
50-6	4-nmod	5-nmod
50-7	4-punct	5-punct
50-8	34-auxpass	4-nmod
50-9	34-nsubjpass	8-nmod
50-10	11-auxpass	9-nmod
50-11	34-dep	10-nmod
50-12	11-compoundCOLprt	11-nmod
50-13	34-punct	1-punct
50-14	34-cc	1-cc
50-15	23-advmod	49-root
50-16	23-aux	15-nmod
50-17	20-advmod	15-advmod
50-18	20-nummod	17-nummod
50-19	20-amod	18-nmod
50-20	23-nsubjpass	19-nmod
50-21	23-neg	20-nmod
50-22	23-auxpass	21-nmod
50-23	34-conj	22-nmod
50-24	23-nmodCOLloc	23-nmod
50-25	23-advmod	24-nmod
50-26	23-punct	18-punct
50-27	34-cc	18-cc
50-28	34-nsubjpass	18-nmod
50-29	28-nummod	28-nummod
50-30	31-case	29-nmod
50-31	28-nmod	30-nmod
50-32	34-aux	31-nmod
50-33	34-aux	32-nmod
50-34	39-dep	33-xcomp
50-35	36-det	34-nmod
50-36	34-dobj	35-nmod
50-37	34-punct	15-punct
50-38	34-punct	15-punct
50-39	49-root	15-nmod
50-40	39-nsubj	39-nmod
50-41	40-cc	15-cc
50-42	40-conj	15-nmod
50-43	39-punct	15-punct
50-44	45-nmodCOLtemp	15-advmod
50-45	47-case	44-nmod
50-46	47-nmodCOLposs	45-nmod
50-47	39-nmod	46-nmod
50-48	39-punct	15-punct

51-0	2-nsubj	25-root
51-1	0-nummod	0-nummod
51-2	25-root	1-nmod
51-3	6-case	2-nmod
51-4	6-det	3-nmod
51-5	6-amod	4-nmod
51-6	2-nmod	5-nmod
51-7	6-punct	6-punct
51-8	12-nsubjpass	25-root
51-9	10-case	10-advmodCOLemph
51-10	12-nmod	8-nmod
51-11	12-auxpass	10-nmod
51-12	6-cop	11-nmod
51-13	12-nmodCOLloc	12-nmod
51-14	19-punct	8-punct
51-15	19-mark	16-mark
51-16	19-nsubj	8-nmod
51-17	16-cc	8-cc
51-18	16-conj	17-nmod
51-19	12-dep	18-nmod
51-20	19-dobj	19-nmod
51-21	20-dep	20-nmod
51-22	23-amod	21-nmod
51-23	21-dobj	21-nmod
51-24	2-punct	8-punct

52-0	12-advmod	43-root
52-1	7-dep	43-root
52-2	7-nsubj	43-root
52-3	4-case	2-nmod
52-4	2-nmod	3-nmod
52-5	4-nummod	4-nummod
52-6	5-dep	5-nmod
52-7	0-aclCOLrelcl	6-nmod
52-8	7-nmodCOLloc	7-nmod
52-9	10-case	8-nmod
52-10	8-nmod	9-nmod
52-11	7-punct	5-punct
52-12	43-root	5-nmod
52-13	12-nsubj	12-nmod
52-14	12-advmod	13-nmod
52-15	16-case	16-advmodCOLemph
52-16	12-nmod	13-nmod
52-17	16-dep	16-nmod
52-18	24-punct	5-punct
52-19	24-mark	20-mark
52-20	24-advmod	5-nmod
52-21	24-cop	20-nmod
52-22	23-nmodCOLposs	21-nmod
52-23	24-nsubj	22-nmod
52-24	17-dep	23-nmod
52-25	27-case	24-nmod
52-26	27-det	25-nmod
52-27	24-nmod	26-nmod
52-28	27-advmod	27-xcomp
52-29	31-case	28-nmod
52-30	31-det	28-nmod
52-31	28-nmod	30-nmod
52-32	24-punct	31-punct
52-33	37-nsubj	43-root
52-34	37-aux	43-root
52-35	37-cop	34-nmod
52-36	37-advmod	35-nmod
52-37	31-aux	35-nmod
52-38	41-case	39-advmodCOLemph
52-39	41-det	37-nmod
52-40	41-amod	39-nmod
52-41	37-nmod	40-nmod
52-42	12-punct	34-punct

53-0	4-nsubj	24-root
53-1	0-cc	0-cc
53-2	0-conj	0-nmod
53-3	4-cop	2-nmod
53-4	24-root	3-nmod
53-5	4-dep	4-nmod
53-6	5-dep	5-nmod
53-7	6-dep	6-nmod
53-8	7-nmodCOLloc	7-nmod
53-9	11-case	8-nmod
53-10	11-amod	24-root
53-11	4-nmod	10-nmod
53-12	18-punct	10-punct
53-13	18-mark	14-mark
53-14	18-nsubj	10-nmod
53-15	18-cop	10-nmod
53-16	18-neg	15-nmod
53-17	18-advmod	16-nmod
53-18	4-amod	17-nmod
53-19	18-dep	18-nmod
53-20	19-dep	19-nmod
53-21	20-dep	20-nmod
53-22	21-dobj	21-nmod
53-23	4-punct	10-punct

54-0	22-root	1-cc
54-1	6-dep	22-root
54-2	1-amod	1-nmod
54-3	2-nmod	2-nmod
54-4	6-cop	3-nmod
