45-7	8-case	8-case
45-8	4-nmod	4-dobj
45-9	4-punct	12-punct
45-10	12-mark	12-mark
45-11	12-nsubj	12-nsubj
45-12	4-advcl	19-root
45-13	14-amod	14-amod
45-14	12-dobj	19-root
45-15	17-case	17-case
45-16	17-nummod	17-nummod
45-17	12-nmod	14-nmod
45-18	4-punct	14-punct

46-0	3-nsubjpass	3-nsubj
46-1	2-case	2-case
46-2	0-nmod	3-nsubj
46-3	31-root	31-root
46-4	3-compoundCOLprt	20-advmod
46-5	9-case	6-case
46-6	5-mwe	20-nsubj
46-7	5-mwe	9-case
46-8	9-det	9-det
46-9	3-nmod	20-nsubj
46-10	13-case	13-case
46-11	13-det	13-det
46-12	13-amod	13-amod
46-13	9-nmod	20-nsubj
46-14	18-case	18-case
46-15	18-det	18-det
46-16	18-nummod	18-nummod
46-17	18-amod	18-amod
46-18	13-nmod	13-nmod
46-19	3-punct	20-punct
46-20	3-parataxis	31-root
46-21	22-det	31-root
46-22	20-nmod	21-nummod
46-23	24-punct	27-punct
46-24	20-dobj	27-nsubj
46-25	24-mwe	27-det
46-26	24-mwe	27-amod
46-27	24-mwe	21-nmod
46-28	24-punct	21-punct
46-29	3-punct	21-punct
46-30	3-punct	21-punct

47-0	1-amod	1-amod
47-1	2-nsubj	2-nsubj
47-2	9-root	9-root
47-3	4-nummod	4-nummod
47-4	2-dobj	9-root
47-5	7-case	7-case
47-6	7-det	7-amod
47-7	4-nmod	4-nmod
47-8	2-punct	4-punct

48-0	9-advcl	30-root
48-1	0-nsubj	30-root
48-2	0-dobj	3-amod
48-3	2-mwe	30-root
48-4	8-case	30-root
48-5	7-advmod	9-advmod
48-6	5-mwe	5-cc
48-7	8-nummod	8-nummod
48-8	0-nmod	9-nsubj
48-9	30-root	30-root
48-10	9-nsubjpass	9-dobj
48-11	16-case	12-case
48-12	11-mwe	19-nsubj
48-13	11-mwe	15-case
48-14	15-det	15-det
48-15	16-det	19-nsubj
48-16	9-nmod	15-nmod
48-17	16-punct	19-punct
48-18	19-nsubj	19-nsubj
48-19	16-aclCOLrelcl	9-conj
48-20	9-punct	24-punct
48-21	22-det	22-amod
48-22	23-det	24-nsubj
48-23	24-nsubj	24-nsubj
48-24	9-parataxis	30-root
48-25	26-det	26-amod
48-26	24-dobj	30-root
48-27	24-conj	30-root
48-28	9-punct	27-punct
48-29	9-punct	27-punct

49-0	5-case	1-case
49-1	0-mwe	6-nsubj
49-2	0-mwe	5-case
49-3	5-det	5-det
49-4	5-amod	5-amod
49-5	6-nmod	6-nsubj
49-6	17-root	17-root
49-7	6-nsubjpass	6-dobj
49-8	7-punct	10-punct
49-9	10-nsubjpass	10-nsubj
49-10	7-aclCOLrelcl	17-root
49-11	13-case	13-case
49-12	13-nmodCOLposs	13-det
49-13	10-nmod	10-dobj
49-14	15-case	15-case
49-15	13-nmod	13-nmod
49-16	6-punct	10-punct

50-0	1-case	1-case
50-1	2-nmod	2-nsubj
50-2	8-root	6-cop
50-3	5-det	5-det
50-4	5-amod	5-amod
50-5	2-nsubj	6-nsubj
50-6	2-xcomp	8-root
50-7	2-punct	6-punct

51-0	2-aux	2-aux
51-1	2-nsubj	2-nsubj
51-2	7-advcl	27-root
51-3	2-compoundCOLprt	7-advmod
51-4	2-dobj	7-nsubj
51-5	7-aux	7-aux
51-6	7-nsubj	7-nsubj
51-7	27-root	27-root
51-8	7-dobj	27-root
51-9	11-case	27-root
51-10	11-mark	27-root
51-11	7-advcl	27-root
51-12	14-det	14-det
51-13	14-amod	14-amod
51-14	11-dobj	27-root
51-15	18-case	18-case
51-16	18-det	18-det
51-17	18-det	18-amod
51-18	14-nmod	27-root
51-19	20-case	20-case
51-20	11-nmod	27-root
51-21	22-case	22-case
51-22	20-nmod	27-root
51-23	25-case	25-case
51-24	25-det	25-det
51-25	22-nmod	22-nmod
51-26	7-punct	22-punct

52-0	5-punct	68-punct
52-1	2-det	2-det
52-2	5-nsubj	68-root
52-3	5-aux	5-aux
52-4	5-cop	5-aux
52-5	68-root	2-amod
52-6	5-punct	5-punct
52-7	10-nummod	10-nummod
52-8	10-punct	7-punct
52-9	10-nummod	10-nummod
52-10	5-appos	2-nmod
52-11	10-punct	12-punct
52-12	15-nummod	10-nummod
52-13	15-punct	15-punct
52-14	15-nummod	15-nummod
52-15	10-conj	2-nmod
52-16	10-punct	17-punct
52-17	20-nummod	15-nummod
52-18	20-punct	20-punct
52-19	20-nummod	20-nummod
52-20	10-conj	2-nmod
52-21	10-punct	22-punct
52-22	25-nummod	20-nummod
52-23	25-punct	25-punct
52-24	25-nummod	25-nummod
52-25	10-conj	2-nmod
52-26	10-punct	27-punct
52-27	30-nummod	25-nummod
52-28	30-punct	30-punct
52-29	30-nummod	30-nummod
52-30	10-conj	2-nmod
52-31	10-punct	32-punct
52-32	35-nummod	30-nummod
52-33	35-punct	35-punct
52-34	35-nummod	35-nummod
52-35	10-conj	2-nmod
52-36	10-punct	37-punct
52-37	40-nummod	35-nummod
52-38	40-punct	40-punct
52-39	40-nummod	40-nummod
52-40	10-conj	2-nmod
52-41	10-punct	42-punct
52-42	45-nummod	40-nummod
52-43	45-punct	45-punct
52-44	45-nummod	45-nummod
52-45	10-conj	2-nmod
52-46	10-punct	47-punct
52-47	50-nummod	45-nummod
52-48	50-punct	50-punct
52-49	50-nummod	50-nummod
52-50	10-conj	2-nmod
52-51	10-punct	52-punct
52-52	55-nummod	50-nummod
52-53	55-punct	55-punct
52-54	55-nummod	55-nummod
52-55	10-conj	2-nmod
52-56	10-punct	57-punct
52-57	60-nummod	55-nummod
52-58	60-punct	60-punct
52-59	60-nummod	60-nummod
52-60	10-conj	2-nmod
52-61	10-cc	60-cc
52-62	65-nummod	60-nummod
52-63	65-punct	65-punct
52-64	65-nummod	65-nummod
52-65	10-conj	60-nmod
52-66	5-punct	65-punct
52-67	5-punct	2-punct

53-0	7-mark	7-mark
53-1	3-det	3-det
53-2	3-amod	3-amod
53-3	7-nsubj	7-nsubj
53-4	6-case	5-case
53-5	6-det	7-nsubj
53-6	3-nmod	5-nummod
53-7	19-advcl	27-root
53-8	9-nummod	9-nummod
53-9	7-xcomp	7-dobj
53-10	9-punct	13-punct
53-11	9-acl	13-amod
53-12	13-det	13-det
53-13	11-dobj	19-nsubj
53-14	17-case	17-case
53-15	16-advmod	17-advmod
53-16	17-nummod	17-nummod
53-17	13-nmod	13-nmod
53-18	9-punct	19-punct
53-19	27-root	27-root
53-20	19-nsubj	27-root
53-21	19-xcomp	20-nummod
53-22	23-punct	23-punct
53-23	21-acl	20-nummod
53-24	25-punct	25-punct
53-25	23-appos	20-nummod
53-26	19-punct	20-punct

54-0	2-amod	2-amod
54-1	2-amod	2-amod
54-2	4-nsubj	6-root
54-3	4-cop	6-aux
54-4	6-root	6-root
54-5	4-punct	4-punct

55-0	4-mark	13-mark
55-1	4-nsubj	13-root
55-2	4-cop	13-aux
55-3	4-nummod	4-nummod
55-4	6-advcl	13-root
55-5	6-punct	6-punct
55-6	13-root	13-root
55-7	8-amod	8-amod
55-8	6-nsubj	11-nsubj
55-9	11-case	11-case
55-10	11-det	11-amod
55-11	6-xcomp	6-dobj
55-12	6-punct	6-punct

56-0	1-mark	1-mark
56-1	2-ccomp	11-root
56-2	11-root	11-root
56-3	7-mark	7-mark
56-4	6-det	6-det
56-5	6-amod	6-amod
56-6	7-nsubj	7-nsubj
56-7	2-csubj	11-root
56-8	9-case	9-case
56-9	7-nmod	7-dobj
56-10	2-punct	7-punct

57-0	2-case	2-case
57-1	2-amod	2-amod
57-2	7-nmod	22-root
57-3	5-nsubj	22-root
57-4	5-cop	22-aux
57-5	2-aclCOLrelcl	22-root
57-6	5-nmod	22-root
57-7	22-root	22-root
57-8	9-amod	9-amod
57-9	7-nsubj	7-dobj
57-10	7-punct	11-punct
57-11	7-parataxis	7-conj
57-12	13-punct	16-punct
57-13	11-dobj	16-nsubj
57-14	13-mwe	16-det
57-15	13-mwe	16-amod
57-16	13-mwe	11-dobj
57-17	13-punct	11-punct
57-18	11-punct	19-punct
57-19	20-det	22-root
57-20	11-nmod	19-nummod
57-21	11-punct	19-punct

58-0	1-root	1-root

59-0	3-dobj	3-nsubj
59-1	2-case	2-case
59-2	0-nmod	3-nsubj
59-3	15-root	15-root
59-4	3-nsubj	11-nsubj
59-5	9-case	9-case
59-6	5-mwe	5-cc
59-7	5-mwe	9-case
59-8	9-det	9-det
59-9	3-nmod	11-nsubj
59-10	11-nsubj	11-nsubj
59-11	9-aclCOLrelcl	15-root
59-12	13-nummod	13-nummod
59-13	11-dobj	11-dobj
59-14	3-punct	11-punct

60-0	2-nsubj	8-root
60-1	2-cop	8-aux
60-2	8-root	8-root
60-3	4-case	4-case
60-4	2-nmod	8-root
60-5	4-cc	4-cc
60-6	4-conj	4-nmod
60-7	2-punct	4-punct

61-0	1-nsubj	1-nsubj
61-1	17-root	17-root
61-2	3-mark	17-root
61-3	1-advcl	17-root
61-4	3-compoundCOLprt	5-advmod
61-5	3-dobj	3-dobj
61-6	7-advmod	3-cc
61-7	10-case	10-case
61-8	7-cc	7-cc
61-9	7-conj	10-case
61-10	3-nmod	3-dobj
61-11	3-punct	13-punct
61-12	15-advmod	13-advmod
61-13	15-case	10-amod
61-14	15-case	15-case
61-15	3-conj	10-nmod
61-16	1-punct	3-punct

62-0	1-advmod	3-cc
62-1	3-case	3-case
62-2	3-amod	3-amod
62-3	7-nmod	7-nsubj
62-4	3-cc	3-cc
62-5	6-amod	6-amod
62-6	3-conj	7-nsubj
62-7	15-root	15-root
62-8	7-nsubj	15-root
62-9	7-advmod	10-advmod
62-10	11-det	11-amod
62-11	7-xcomp	15-root
62-12	13-case	13-case
62-13	7-nmod	11-nmod
62-14	7-punct	11-punct

63-0	12-advcl	17-root
63-1	0-nsubj	12-nsubj
63-2	0-dobj	12-nsubj
63-3	5-case	5-case
63-4	3-advmod	3-cc
63-5	0-nmod	2-nmod
63-6	5-cc	5-cc
63-7	5-conj	12-nsubj
63-8	12-aux	12-aux
63-9	11-det	11-det
63-10	11-amod	11-amod
63-11	12-nsubj	12-nsubj
63-12	17-root	17-root
63-13	14-det	14-amod
63-14	12-dobj	17-root
63-15	14-nmod	14-advmod
63-16	12-punct	14-punct

64-0	1-amod	1-amod
64-1	2-nsubj	2-nsubj
64-2	5-root	5-root
64-3	4-amod	4-amod
64-4	2-dobj	2-dobj

65-0	1-nsubj	1-nsubj
65-1	8-root	8-root
65-2	1-advmod	3-advmod
65-3	1-xcomp	6-amod
65-4	6-case	6-case
65-5	6-amod	6-amod
65-6	1-nmod	1-dobj
65-7	1-punct	1-punct

66-0	2-cc	2-cc
66-1	2-nsubj	2-nsubj
66-2	7-root	7-root
66-3	2-xcomp	4-amod
66-4	2-nmod	7-root
66-5	4-nmod	4-advmod
66-6	2-punct	4-punct

67-0	1-nsubj	1-nsubj
67-1	17-root	17-root
67-2	3-nummod	3-nummod
67-3	1-dobj	17-root
67-4	6-case	6-case
67-5	6-det	6-det
67-6	1-nmod	17-root
67-7	12-advmod	17-root
67-8	12-nsubj	17-root
67-9	10-case	10-case
67-10	12-nmod	17-root
67-11	12-cop	15-aux
67-12	6-aclCOLrelcl	15-amod
67-13	15-mark	12-cc
67-14	15-nummod	15-nummod
67-15	12-advcl	10-nmod
67-16	1-punct	10-punct

68-0	9-nsubj	3-nsubj
68-1	3-nsubj	3-nsubj
68-2	3-aux	3-aux
68-3	0-aclCOLrelcl	12-root
68-4	5-amod	5-amod
68-5	3-dobj	3-dobj
68-6	7-case	7-case
68-7	5-nmod	9-nsubj
68-8	9-aux	9-aux
68-9	12-root	12-root
68-10	9-dobj	9-dobj
68-11	9-punct	9-punct

69-0	1-case	1-case
69-1	2-nmod	2-nsubj
69-2	15-root	15-root
69-3	5-det	5-det
69-4	5-amod	5-amod
69-5	2-nsubj	7-nsubj
69-6	7-nsubj	7-nsubj
69-7	5-aclCOLrelcl	15-root
69-8	7-dobj	15-root
69-9	11-case	11-case
69-10	11-amod	11-amod
69-11	7-nmod	15-root
69-12	13-case	13-case
69-13	11-nmod	11-nmod
69-14	11-punct	11-punct

70-0	3-cc	3-cc
70-1	3-advmod	3-advmod
70-2	3-nsubj	3-nsubj
70-3	11-root	11-root
70-4	3-advmod	11-root
70-5	7-case	11-root
70-6	7-mark	11-root
70-7	3-advcl	11-root
70-8	9-amod	9-amod
70-9	7-dobj	7-dobj
70-10	3-punct	7-punct

71-0	12-root	12-root
71-1	8-mark	12-mark
71-2	3-amod	3-amod
71-3	8-nsubj	12-root
71-4	5-case	5-case
71-5	3-nmod	12-root
71-6	8-neg	10-advmod
71-7	8-cop	10-aux
71-8	0-ccomp	10-nsubj
71-9	10-mark	8-cc
71-10	8-advcl	5-nmod
71-11	0-punct	5-punct

72-0	5-punct	5-punct
72-1	2-case	2-case
72-2	5-nmod	5-nsubj
72-3	5-aux	5-aux
72-4	5-nsubj	5-nsubj
72-5	14-root	14-root
72-6	9-case	9-case
72-7	9-det	9-det
72-8	9-det	9-amod
72-9	5-nmod	5-dobj
72-10	11-case	11-case
72-11	9-nmod	9-nmod
72-12	5-punct	11-punct
72-13	5-punct	5-punct

73-0	1-amod	1-amod
73-1	2-nsubj	2-nsubj
73-2	5-root	5-root
73-3	4-amod	4-amod
73-4	2-dobj	2-dobj

74-0	11-nsubj	2-nsubj
74-1	2-nsubj	2-nsubj
74-2	0-aclCOLrelcl	15-root
74-3	5-case	15-root
74-4	5-mark	15-root
74-5	2-advcl	15-root
74-6	5-compoundCOLprt	11-advmod
74-7	5-dobj	11-nsubj
74-8	10-case	10-case
74-9	10-case	10-case
74-10	2-nmod	11-nsubj
74-11	15-root	15-root
74-12	13-amod	13-amod
74-13	11-dobj	11-dobj
74-14	11-punct	11-punct

75-0	1-nsubj	1-nsubj
75-1	18-root	18-root
75-2	4-case	4-case
75-3	4-nummod	4-nummod
75-4	1-nmod	9-nsubj
75-5	7-case	7-case
75-6	7-det	7-det
75-7	1-nmod	9-nsubj
75-8	9-nsubj	9-nsubj
75-9	7-aclCOLrelcl	18-root
75-10	11-case	11-case
75-11	9-nmod	9-dobj
