1-0	4-nummod	3-nummod
17-7	8-nsubj	8-nsubj
17-8	4-aclCOLrelcl	2-ccomp
17-9	10-case	10-case
17-10	8-nmod	8-dobj
17-11	10-cc	10-cc
17-12	13-amod	13-amod
17-13	10-conj	10-nmod
17-14	2-punct	2-punct

18-0	4-punct	4-punct
18-1	4-nsubj	4-nsubj
18-2	4-aux	4-aux
18-3	4-neg	4-advmod
18-4	17-dep	20-root
18-5	4-dobj	20-root
18-6	4-dep	20-root
18-7	12-punct	20-punct
18-8	12-mark	20-mark
18-9	10-det	20-det
18-10	12-nsubj	20-root
18-11	12-aux	12-aux
18-12	6-dep	10-conj
18-13	14-case	14-case
18-14	12-nmod	12-nmod
18-15	12-punct	12-punct
18-16	4-punct	12-punct
18-17	20-root	12-conj
18-18	17-nsubj	17-dobj
18-19	17-punct	10-punct

19-0	9-name	14-nsubj
19-1	4-case	2-case
19-2	4-nmodCOLposs	0-nmod
19-3	4-amod	4-amod
19-4	0-nmod	0-nmod
19-5	6-punct	4-punct
19-6	4-appos	4-nmod
19-7	6-punct	6-punct
19-8	0-punct	4-punct
19-9	14-nsubjpass	10-name
19-10	9-name	4-nmod
19-11	9-punct	0-punct
19-12	14-auxpass	14-aux
19-13	14-advmod	14-advmod
19-14	18-root	18-root
19-15	16-case	16-case
19-16	14-nmod	14-nmod
19-17	14-punct	14-punct

20-0	4-nsubj	4-nsubj
20-1	4-aux	4-aux
20-2	4-advmod	4-advmod
20-3	4-advmod	4-advmod
20-4	17-root	17-root
20-5	8-punct	8-punct
20-6	8-mark	8-mark
20-7	8-nsubj	8-nsubj
20-8	4-dobj	4-ccomp
20-9	10-advmod	11-advmod
20-10	11-advmod	11-advmod
20-11	8-advmod	8-advmod
20-12	13-case	13-case
20-13	8-nmod	8-dobj
20-14	15-case	15-case
20-15	13-nmod	13-nmod
20-16	4-punct	4-punct

21-0	1-advmod	1-advmod
21-1	45-root	45-root
21-2	1-nsubj	1-nmod
21-3	5-case	5-case
21-4	5-det	5-det
21-5	1-nmod	1-dobj
21-6	7-det	7-det
21-7	1-dobj	5-nmod
21-8	9-case	9-case
21-9	7-nmod	7-nmod
21-10	9-cc	9-cc
21-11	9-conj	9-nmod
21-12	7-punct	1-punct
21-13	19-advmod	15-advmod
21-14	15-det	15-det
21-15	19-nsubj	45-root
21-16	17-advmod	19-advmod
21-17	18-case	18-case
21-18	19-nmod	19-nsubj
21-19	7-dep	15-conj
21-20	19-dobj	19-dobj
21-21	19-dep	45-root
21-22	21-dep	23-mark
21-23	22-dep	45-root
21-24	23-dobj	23-dobj
21-25	19-punct	23-punct
21-26	28-punct	28-punct
21-27	28-dobj	28-nsubj
21-28	33-nsubj	23-conj
21-29	28-nsubj	28-dobj
21-30	28-punct	28-punct
21-31	28-punct	28-punct
21-32	33-cop	45-root
21-33	19-dep	45-root
21-34	35-case	35-case
21-35	33-nmod	33-nmod
21-36	37-case	37-case
21-37	35-nmod	38-name
21-38	37-name	35-nmod
21-39	37-cc	38-cc
21-40	43-det	43-det
21-41	43-amod	43-amod
21-42	43-amod	43-amod
21-43	37-conj	35-nmod
21-44	1-punct	33-punct

22-0	4-punct	4-punct
22-1	4-nsubj	4-nsubj
22-2	4-cop	4-aux
22-3	4-amod	4-amod
22-4	17-dep	8-nsubj
22-5	4-punct	8-punct
22-6	8-nsubj	8-nsubj
22-7	8-aux	8-aux
22-8	1-dep	17-ccomp
22-9	10-advmod	10-advmod
22-10	12-amod	12-amod
22-11	12-det	12-det
22-12	8-dobj	8-dobj
22-13	14-case	14-case
22-14	8-nmod	12-nmod
22-15	8-punct	8-punct
22-16	4-punct	8-punct
22-17	21-root	21-root
22-18	17-nsubj	19-name
22-19	18-name	17-nmod
22-20	17-punct	17-punct

23-0	2-case	2-case
23-1	2-amod	2-amod
23-2	6-nmod	6-nmod
23-3	5-case	5-case
23-4	5-nummod	5-nummod
23-5	2-nmod	6-nmod
23-6	13-root	13-root
23-7	8-amod	8-amod
23-8	6-nsubj	13-root
23-9	6-dobj	8-nmod
23-10	11-case	11-case
23-11	9-nmod	9-nmod
23-12	6-punct	8-punct

24-0	1-advmod	1-advmod
24-1	4-root	4-root
24-2	1-nsubj	1-dobj
24-3	1-nmodCOLloc	1-advmod

25-0	1-case	1-case
25-1	3-root	3-root
25-2	1-name	1-nmod

26-0	2-dep	8-root
26-1	0-nummod	8-root
26-2	8-root	8-root
26-3	2-nsubj	2-nmod
26-4	6-det	6-det
26-5	6-amod	6-amod
26-6	2-dobj	2-nmod
26-7	2-punct	2-punct

27-0	1-nsubj	1-nsubj
27-1	28-root	13-advcl
27-2	3-nmodCOLposs	13-nmod
27-3	1-dobj	2-nmod
27-4	1-punct	2-punct
27-5	1-cc	2-cc
27-6	10-nsubj	10-nsubj
27-7	10-cop	10-aux
27-8	10-neg	10-advmod
27-9	10-det	10-det
27-10	1-conj	2-nmod
27-11	10-punct	13-punct
27-12	13-nsubj	13-nsubj
27-13	10-dep	15-advcl
27-14	13-dobj	15-nsubj
27-15	13-dep	28-root
27-16	21-punct	24-punct
27-17	21-mark	24-mark
27-18	21-nsubj	24-nsubj
27-19	21-aux	21-aux
27-20	21-cop	21-aux
27-21	13-amod	23-amod
27-22	23-case	23-case
27-23	21-nmod	24-nmod
27-24	23-dep	28-root
27-25	23-amod	26-amod
27-26	23-nmodCOLposs	24-nmod
27-27	1-punct	24-punct

28-0	3-nsubj	3-nsubj
28-1	3-cop	3-aux
28-2	3-amod	3-amod
28-3	12-root	8-nsubj
28-4	8-punct	8-punct
28-5	8-mark	8-mark
28-6	8-nsubj	7-name
28-7	6-name	8-nsubj
28-8	0-dep	12-root
28-9	10-case	10-case
28-10	8-nmod	8-nmod
28-11	3-punct	8-punct

29-0	1-punct	3-punct
29-1	13-dep	3-cc
29-2	3-expl	3-mark
29-3	1-conj	16-root
29-4	6-det	6-det
29-5	6-amod	6-amod
29-6	3-dobj	3-dobj
29-7	10-case	10-case
29-8	10-det	10-det
29-9	10-nummod	10-nummod
29-10	6-nmod	6-nmod
29-11	3-punct	3-punct
29-12	1-punct	3-punct
29-13	16-root	3-conj
29-14	13-nsubj	13-dobj
29-15	13-punct	3-punct

30-0	1-nummod	1-nummod
30-1	2-nmodCOLtemp	3-nmod
30-2	3-advmod	3-advmod
30-3	10-root	10-root
30-4	5-amod	5-amod
30-5	3-nsubj	10-root
30-6	3-dobj	5-nmod
30-7	8-case	8-case
30-8	6-nmod	6-nmod
30-9	3-punct	5-punct

31-0	2-case	2-case
31-1	2-amod	2-amod
31-2	7-root	7-root
31-3	5-case	5-case
31-4	5-nummod	5-nummod
31-5	2-nmod	2-nmod
31-6	0-punct	2-punct

32-0	20-root	7-cc
32-1	2-det	2-det
32-2	7-dep	7-nmod
32-3	7-aux	7-aux
32-4	7-nsubj	7-nsubj
32-5	4-name	7-nsubj
32-6	7-neg	7-advmod
32-7	0-conj	20-root
32-8	7-dobj	20-root
32-9	7-amod	20-root
32-10	9-dep	13-case
32-11	10-dep	13-mark
32-12	13-aux	13-aux
32-13	11-dep	9-conj
32-14	15-det	15-det
32-15	13-dobj	13-dobj
32-16	13-dep	18-advmod
32-17	18-case	18-case
32-18	16-nmod	15-nmod
32-19	0-punct	9-punct

33-0	3-nsubj	22-root
33-1	3-cop	22-root
33-2	3-advmod	3-advmod
33-3	22-root	22-root
33-4	12-case	6-case
33-5	3-cc	4-cc
33-6	3-conj	22-root
33-7	8-case	8-case
33-8	6-nmod	22-root
33-9	8-dep	12-case
33-10	12-det	12-det
33-11	12-amod	12-amod
33-12	3-nmod	8-nmod
33-13	12-punct	8-punct
33-14	16-nsubj	22-root
33-15	16-aux	22-root
33-16	12-aux	22-root
33-17	16-dobj	22-root
33-18	20-case	19-case
33-19	20-nmodCOLposs	17-nmod
33-20	17-nmod	17-nmod
33-21	3-punct	17-punct

34-0	1-nummod	1-nsubj
34-1	7-root	7-root
34-2	1-nsubj	5-nsubj
34-3	5-case	5-case
34-4	5-amod	5-amod
34-5	1-nmod	1-nmod
34-6	1-punct	1-punct

35-0	1-nsubj	1-nsubj
35-1	7-root	7-root
35-2	5-case	4-case
35-3	4-det	4-det
35-4	5-nmodCOLposs	7-root
35-5	1-nmod	4-nmod
35-6	1-punct	4-punct

36-0	1-advmod	1-advmod
36-1	5-root	5-root
36-2	1-nsubj	3-nsubj
36-3	1-nummod	1-conj
36-4	1-punct	1-punct

37-0	9-root	2-cc
37-1	2-nsubj	2-nsubj
37-2	0-conj	9-root
37-3	2-advmod	7-advmod
37-4	7-case	7-case
37-5	7-det	7-det
37-6	7-amod	7-amod
37-7	2-nmod	2-nmod
37-8	0-punct	2-punct

38-0	16-root	16-root
38-1	0-punct	0-punct
38-2	4-case	16-root
38-3	4-dep	16-root
38-4	5-nmod	5-nmod
38-5	0-list	3-conj
38-6	5-expl	10-advmodCOLemph
38-7	5-advmod	10-advmod
38-8	10-det	10-det
38-9	10-amod	10-amod
38-10	5-dobj	5-dobj
38-11	12-case	12-case
38-12	5-nmod	10-nmod
38-13	14-case	14-case
38-14	12-nmod	12-nmod
38-15	0-punct	3-punct

39-0	2-nsubj	8-root
39-1	2-cop	8-root
39-2	8-root	8-root
39-3	0-dep	4-mark
39-4	3-dep	2-conj
39-5	6-amod	6-amod
39-6	4-dobj	4-nmod
39-7	2-punct	2-punct

40-0	1-nsubj	1-nsubj
40-1	9-root	9-root
40-2	6-punct	6-punct
40-3	6-mark	6-mark
40-4	6-nsubj	6-nmod
40-5	6-aux	6-aux
40-6	1-dobj	1-conj
40-7	6-dobj	6-dobj
40-8	1-punct	1-punct

41-0	13-root	4-nsubj
41-1	0-punct	0-punct
41-2	4-aux	4-aux
41-3	4-nsubj	4-nsubj
41-4	0-list	13-root
41-5	9-case	8-case
41-6	8-det	8-det
41-7	8-dep	6-cc
41-8	9-nmodCOLposs	13-root
41-9	4-nmod	8-nmod
41-10	11-case	11-case
41-11	9-nmod	9-nmod
41-12	0-punct	8-punct

42-0	15-root	4-nummod
42-1	0-punct	4-punct
42-2	4-nsubj	4-nsubj
42-3	4-cop	4-aux
42-4	0-list	15-root
42-5	9-punct	9-punct
42-6	9-mark	9-mark
42-7	9-nsubjpass	9-nsubj
42-8	9-auxpass	9-aux
42-9	4-dep	4-conj
42-10	13-case	11-case
42-11	12-nmodCOLposs	15-root
42-12	13-nmodCOLposs	11-nmod
42-13	9-nmod	12-nmod
42-14	0-punct	11-punct

43-0	18-root	5-nsubj
43-1	0-punct	5-punct
43-2	5-mark	5-mark
43-3	5-nsubjpass	5-nsubj
43-4	5-auxpass	5-aux
43-5	0-list	18-root
43-6	8-case	7-case
43-7	8-nmodCOLposs	15-nsubj
43-8	5-nmod	7-nmod
43-9	10-punct	15-punct
43-10	5-advmod	15-advmod
43-11	5-aux	15-aux
43-12	5-nsubjpass	15-nsubj
43-13	5-advmod	15-advmod
43-14	5-neg	15-advmod
43-15	5-dep	5-ccomp
43-16	15-compoundCOLprt	15-advmod
43-17	0-punct	5-punct

44-0	20-root	3-nummod
44-1	0-punct	0-punct
44-2	0-list	0-cc
44-3	2-conj	20-root
44-4	3-expl	7-advmodCOLemph
44-5	6-advmod	6-advmod
44-6	3-dobj	7-amod
44-7	6-dep	3-dobj
44-8	9-case	9-case
44-9	7-nmod	7-nmod
44-10	14-punct	14-punct
44-11	14-mark	14-mark
44-12	14-nsubj	14-nsubj
44-13	14-aux	14-aux
44-14	5-dep	20-root
44-15	14-dobj	14-dobj
44-16	14-nmodCOLloc	18-advmod
44-17	18-case	18-case
44-18	16-nmod	15-nmod
44-19	0-punct	14-punct

45-0	29-root	4-nsubj
45-1	0-punct	4-punct
45-2	4-mark	4-mark
45-3	4-expl	4-mark
45-4	13-mark	29-root
45-5	7-det	7-det
45-6	7-amod	7-amod
45-7	4-dobj	4-nmod
45-8	4-punct	4-punct
45-9	13-aux	29-root
45-10	13-nsubj	29-root
45-11	13-advmod	13-advmod
45-12	13-cop	13-aux
45-13	0-list	29-root
45-14	13-dep	20-case
45-15	20-punct	20-punct
45-16	20-mark	20-mark
45-17	20-nsubj	20-nsubj
45-18	20-neg	20-advmod
45-19	20-advmod	20-advmod
45-20	14-dep	13-conj
45-21	20-nmodCOLloc	20-advmod
45-22	20-cc	20-cc
45-23	20-conj	13-conj
45-24	27-case	26-case
45-25	27-amod	26-amod
45-26	27-nmodCOLposs	29-root
45-27	23-nmod	26-nmod
45-28	0-punct	26-punct

46-0	3-nsubj	3-nsubj
46-1	3-aux	3-aux
46-2	3-advmod	3-advmod
46-3	13-root	13-root
46-4	5-det	5-det
46-5	3-dobj	3-nmod
46-6	5-punct	5-punct
46-7	5-dep	8-name
46-8	7-name	5-nmod
46-9	7-punct	3-punct
46-10	3-dep	13-root
46-11	10-dobj	10-nmod
46-12	3-punct	10-punct

47-0	2-punct	2-punct
47-1	2-nsubj	2-nsubj
47-2	24-root	4-cop
47-3	4-punct	2-punct
47-4	2-amod	24-root
47-5	4-punct	4-punct
47-6	2-punct	4-punct
47-7	2-cc	4-cc
47-8	10-nsubj	10-nsubj
47-9	10-cop	10-aux
47-10	2-conj	4-conj
47-11	20-punct	20-punct
47-12	20-mark	20-mark
47-13	14-nmodCOLposs	20-nsubj
47-14	20-nsubjpass	13-nmod
47-15	14-cc	14-cc
47-16	14-conj	13-nmod
47-17	20-neg	20-advmod
47-18	20-aux	20-aux
47-19	20-auxpass	20-aux
47-20	10-dep	4-conj
47-21	22-case	22-case
47-22	20-nmod	20-nmod
47-23	2-punct	4-punct

48-0	3-nsubj	3-nsubj
48-1	3-cop	3-aux
48-2	3-advmod	3-advmod
48-3	42-amod	42-ccomp
48-4	3-punct	3-punct
48-5	0-nmod	7-nsubj
48-6	7-nsubj	7-nsubj
48-7	5-aclCOLrelcl	3-conj
48-8	9-case	9-case
48-9	7-nmod	7-dobj
48-10	13-case	13-case
48-11	13-det	13-det
48-12	13-amod	13-amod
48-13	7-nmod	9-nmod
48-14	7-punct	18-punct
48-15	18-mark	18-mark
48-16	18-nsubj	18-nsubj
48-17	18-aux	18-aux
48-18	7-dep	3-conj
48-19	18-dobj	20-mark
48-20	19-dep	3-conj
48-21	22-det	22-det
48-22	20-dobj	20-dobj
48-23	18-punct	20-punct
48-24	18-cc	20-cc
48-25	28-mark	37-mark
48-26	28-nsubj	37-nsubj
48-27	28-cop	37-aux
48-28	18-conj	37-nsubj
48-29	32-case	32-case
48-30	32-det	32-det
48-31	32-amod	32-amod
48-32	28-nmod	28-nmod
48-33	35-case	37-case
48-34	33-punct	37-punct
48-35	32-nmod	37-nsubj
48-36	37-nsubj	37-nsubj
48-37	35-aclCOLrelcl	3-conj
48-38	37-cc	37-cc
48-39	37-conj	37-advcl
48-40	37-punct	39-punct
48-41	3-punct	39-punct
48-42	46-root	46-root
48-43	42-nsubj	44-name
48-44	43-name	42-nmod
48-45	42-punct	42-punct

49-0	5-punct	1-punct
49-1	5-nsubjpass	13-root
49-2	5-auxpass	4-aux
49-3	4-advmod	4-advmod
49-4	5-amod	13-root
49-5	13-root	4-conj
49-6	5-punct	8-punct
49-7	8-nsubj	8-nsubj
49-8	5-conj	4-conj
49-9	8-neg	11-advmod
49-10	11-det	11-det
49-11	8-dobj	8-nmod
49-12	5-punct	4-punct

50-0	4-mark	4-mark
50-1	4-nsubjpass	4-nsubj
50-2	4-neg	4-advmod
50-3	4-auxpass	4-aux
50-4	34-dep	12-cop
50-5	6-case	6-case
50-6	4-nmod	4-nmod
50-7	4-punct	4-punct
50-8	34-auxpass	11-aux
50-9	34-nsubjpass	11-nsubj
50-10	11-auxpass	11-aux
50-11	34-dep	12-cop
50-12	11-compoundCOLprt	49-root
50-13	34-punct	12-punct
50-14	34-cc	12-cc
50-15	23-advmod	23-advmod
50-16	23-aux	23-aux
50-17	20-advmod	23-advmod
50-18	20-nummod	20-nummod
50-19	20-amod	20-amod
50-20	23-nsubjpass	23-nsubj
50-21	23-neg	23-advmod
50-22	23-auxpass	23-aux
50-23	34-conj	12-conj
50-24	23-nmodCOLloc	25-advmod
50-25	23-advmod	23-advmod
50-26	23-punct	23-punct
50-27	34-cc	23-cc
50-28	34-nsubjpass	34-nsubj
50-29	28-nummod	31-nummod
50-30	31-case	31-case
50-31	28-nmod	34-nsubj
50-32	34-aux	34-aux
50-33	34-aux	34-aux
50-34	39-dep	12-conj
50-35	36-det	36-det
50-36	34-dobj	34-dobj
50-37	34-punct	34-punct
50-38	34-punct	34-punct
50-39	49-root	12-cop
50-40	39-nsubj	39-nmod
50-41	40-cc	40-cc
50-42	40-conj	39-nmod
50-43	39-punct	39-punct
50-44	45-nmodCOLtemp	39-advmod
50-45	47-case	46-case
50-46	47-nmodCOLposs	49-root
50-47	39-nmod	46-nmod
50-48	39-punct	46-punct

51-0	2-nsubj	2-nsubj
51-1	0-nummod	2-nsubj
51-2	25-root	25-root
51-3	6-case	6-case
51-4	6-det	6-det
51-5	6-amod	6-amod
51-6	2-nmod	2-dobj
51-7	6-punct	6-punct
51-8	12-nsubjpass	19-mark
51-9	10-case	10-case
51-10	12-nmod	19-nmod
51-11	12-auxpass	16-aux
51-12	6-cop	16-aux
51-13	12-nmodCOLloc	16-advmod
51-14	19-punct	16-punct
51-15	19-mark	16-mark
51-16	19-nsubj	10-nmod
51-17	16-cc	16-cc
51-18	16-conj	19-nmod
51-19	12-dep	2-conj
51-20	19-dobj	21-mark
51-21	20-dep	25-root
51-22	23-amod	23-amod
51-23	21-dobj	21-nmod
51-24	2-punct	21-punct

52-0	12-advmod	6-advmod
52-1	7-dep	6-mark
52-2	7-nsubj	6-nsubj
52-3	4-case	4-case
52-4	2-nmod	6-nsubj
52-5	4-nummod	6-nummod
52-6	5-dep	43-root
52-7	0-aclCOLrelcl	6-ccomp
52-8	7-nmodCOLloc	7-advmod
52-9	10-case	10-case
52-10	8-nmod	7-dobj
52-11	7-punct	7-punct
52-12	43-root	7-conj
52-13	12-nsubj	43-root
52-14	12-advmod	16-advmod
52-15	16-case	16-case
52-16	12-nmod	43-root
52-17	16-dep	43-root
52-18	24-punct	43-punct
52-19	24-mark	43-mark
52-20	24-advmod	43-root
52-21	24-cop	43-root
52-22	23-nmodCOLposs	43-root
52-23	24-nsubj	22-nmod
52-24	17-dep	43-root
52-25	27-case	27-case
52-26	27-det	27-det
52-27	24-nmod	43-root
52-28	27-advmod	31-advmod
52-29	31-case	31-case
52-30	31-det	31-det
52-31	28-nmod	27-nmod
52-32	24-punct	27-punct
52-33	37-nsubj	41-advmodCOLemph
52-34	37-aux	41-aux
52-35	37-cop	41-aux
52-36	37-advmod	41-advmod
52-37	31-aux	41-aux
52-38	41-case	41-case
52-39	41-det	41-det
52-40	41-amod	41-amod
52-41	37-nmod	27-nmod
52-42	12-punct	27-punct

53-0	4-nsubj	2-name
53-1	0-cc	0-cc
53-2	0-conj	24-root
53-3	4-cop	24-root
53-4	24-root	24-root
53-5	4-dep	7-case
53-6	5-dep	7-mark
53-7	6-dep	4-conj
53-8	7-nmodCOLloc	11-advmod
53-9	11-case	11-case
53-10	11-amod	11-amod
53-11	4-nmod	7-dobj
53-12	18-punct	24-punct
53-13	18-mark	24-mark
53-14	18-nsubj	24-root
53-15	18-cop	24-root
53-16	18-neg	18-advmod
53-17	18-advmod	18-advmod
53-18	4-amod	24-root
53-19	18-dep	21-case
53-20	19-dep	21-mark
53-21	20-dep	18-conj
53-22	21-dobj	21-dobj
53-23	4-punct	18-punct

54-0	22-root	22-root
54-1	6-dep	22-root
54-2	1-amod	22-root
54-3	2-nmod	22-root
54-4	6-cop	22-root
54-5	6-nsubj	22-root
54-6	0-conj	15-nsubj
54-7	6-nmod	15-nsubj
54-8	6-punct	7-punct
54-9	15-punct	15-punct
54-10	15-nsubj	15-nsubj
54-11	15-aux	15-aux
54-12	15-neg	15-advmod
54-13	15-cop	15-aux
54-14	15-det	15-det
54-15	6-amod	5-amod
54-16	15-punct	5-punct
54-17	19-nsubj	22-root
54-18	19-aux	20-aux
54-19	15-aux	20-aux
54-20	15-punct	17-punct
54-21	15-punct	17-punct

55-0	14-root	1-cc
55-1	5-nsubj	5-nsubj
55-2	4-case	4-case
55-3	4-det	4-det
55-4	1-nmod	1-nmod
55-5	0-conj	14-root
55-6	5-dobj	5-dobj
55-7	5-dep	9-case
55-8	7-dep	9-mark
55-9	8-dep	5-ccomp
55-10	12-case	12-case
55-11	12-det	12-det
55-12	5-nmod	9-nmod
